image1,image2,similar,elapsed
./imgs/airplane.bmp,./imgs/airplane.gif,0.0240961826084648, 0.160668
./imgs/airplane.bmp,./imgs/airplane.jpg,0.028650770055743124, 0.134082
./imgs/airplane.bmp,./imgs/airplane.png,0.0, 0.139707
./imgs/airplane.bmp,./imgs/arctichare.bmp,1.0, 0.000008
./imgs/airplane.bmp,./imgs/arctichare.gif,1.0, 0.000007
./imgs/airplane.bmp,./imgs/arctichare.jpg,1.0, 0.000006
./imgs/airplane.bmp,./imgs/arctichare.png,1.0, 0.000005
./imgs/airplane.bmp,./imgs/baboon.bmp,0.8854676314809576, 0.140008
./imgs/airplane.bmp,./imgs/baboon.gif,0.8880887808227212, 0.135327
./imgs/airplane.bmp,./imgs/baboon.jpg,0.8837720026187365, 0.142039
./imgs/airplane.bmp,./imgs/baboon.png,0.8854676314809576, 0.131300
./imgs/airplane.bmp,./imgs/boat.bmp,1.0, 0.000011
./imgs/airplane.bmp,./imgs/boat.gif,0.7428486772943621, 0.139337
./imgs/airplane.bmp,./imgs/boat.jpg,1.0, 0.000008
./imgs/airplane.bmp,./imgs/boat.png,1.0, 0.000006
./imgs/airplane.bmp,./imgs/cat.bmp,1.0, 0.000008
./imgs/airplane.bmp,./imgs/cat.gif,1.0, 0.000005
./imgs/airplane.bmp,./imgs/cat.jpg,1.0, 0.000007
./imgs/airplane.bmp,./imgs/cat.png,1.0, 0.000006
./imgs/airplane.bmp,./imgs/fruits.bmp,0.6783023834449715, 0.137216
./imgs/airplane.bmp,./imgs/fruits.gif,0.685841631412335, 0.132957
./imgs/airplane.bmp,./imgs/fruits.jpg,0.6788697994231097, 0.136195
./imgs/airplane.bmp,./imgs/fruits.png,0.6783023834449715, 0.133479
./imgs/airplane.bmp,./imgs/frymire.bmp,1.0, 0.000005
./imgs/airplane.bmp,./imgs/frymire.gif,1.0, 0.000007
./imgs/airplane.bmp,./imgs/frymire.jpg,1.0, 0.000006
./imgs/airplane.bmp,./imgs/frymire.png,1.0, 0.000012
./imgs/airplane.bmp,./imgs/girl.bmp,1.0, 0.000008
./imgs/airplane.bmp,./imgs/girl.gif,1.0, 0.000005
./imgs/airplane.bmp,./imgs/girl.jpg,1.0, 0.000005
./imgs/airplane.bmp,./imgs/girl.png,1.0, 0.000005
./imgs/airplane.bmp,./imgs/goldhill.bmp,1.0, 0.000009
./imgs/airplane.bmp,./imgs/goldhill.gif,0.7748072120816943, 0.134991
./imgs/airplane.bmp,./imgs/goldhill.jpg,1.0, 0.000007
./imgs/airplane.bmp,./imgs/goldhill.png,1.0, 0.000007
./imgs/airplane.bmp,./imgs/lena.bmp,0.7034852564642133, 0.135892
./imgs/airplane.bmp,./imgs/lena.gif,0.7096152429760196, 0.140324
./imgs/airplane.bmp,./imgs/lena.jpg,0.692253254080753, 0.133753
./imgs/airplane.bmp,./imgs/lena.png,0.7034852564642133, 0.131448
./imgs/airplane.bmp,./imgs/monarch.bmp,1.0, 0.000008
./imgs/airplane.bmp,./imgs/monarch.gif,1.0, 0.000004
./imgs/airplane.bmp,./imgs/monarch.jpg,1.0, 0.000005
./imgs/airplane.bmp,./imgs/monarch.png,1.0, 0.000006
./imgs/airplane.bmp,./imgs/peppers.bmp,0.7671787501038815, 0.160943
./imgs/airplane.bmp,./imgs/peppers.gif,0.7745123629445831, 0.139398
./imgs/airplane.bmp,./imgs/peppers.jpg,0.7590074070497632, 0.135429
./imgs/airplane.bmp,./imgs/peppers.png,0.7671787501038815, 0.144266
./imgs/airplane.gif,./imgs/airplane.bmp,0.0240961826084648, 0.132341
./imgs/airplane.gif,./imgs/airplane.jpg,0.042955604225513144, 0.151479
./imgs/airplane.gif,./imgs/airplane.png,0.0240961826084648, 0.139838
./imgs/airplane.gif,./imgs/arctichare.bmp,1.0, 0.000004
./imgs/airplane.gif,./imgs/arctichare.gif,1.0, 0.000004
./imgs/airplane.gif,./imgs/arctichare.jpg,1.0, 0.000004
./imgs/airplane.gif,./imgs/arctichare.png,1.0, 0.000007
./imgs/airplane.gif,./imgs/baboon.bmp,0.8853322910051632, 0.131883
./imgs/airplane.gif,./imgs/baboon.gif,0.8878148245714699, 0.129979
./imgs/airplane.gif,./imgs/baboon.jpg,0.8836714964557586, 0.176105
./imgs/airplane.gif,./imgs/baboon.png,0.8853322910051632, 0.134770
./imgs/airplane.gif,./imgs/boat.bmp,1.0, 0.000007
./imgs/airplane.gif,./imgs/boat.gif,0.74269237929013, 0.134325
./imgs/airplane.gif,./imgs/boat.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/boat.png,1.0, 0.000004
./imgs/airplane.gif,./imgs/cat.bmp,1.0, 0.000007
./imgs/airplane.gif,./imgs/cat.gif,1.0, 0.000005
./imgs/airplane.gif,./imgs/cat.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/cat.png,1.0, 0.000005
./imgs/airplane.gif,./imgs/fruits.bmp,0.6787835415070937, 0.144714
./imgs/airplane.gif,./imgs/fruits.gif,0.6863255695568002, 0.146003
./imgs/airplane.gif,./imgs/fruits.jpg,0.6793047610636642, 0.156365
./imgs/airplane.gif,./imgs/fruits.png,0.6787835415070937, 0.167150
./imgs/airplane.gif,./imgs/frymire.bmp,1.0, 0.000005
./imgs/airplane.gif,./imgs/frymire.gif,1.0, 0.000009
./imgs/airplane.gif,./imgs/frymire.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/frymire.png,1.0, 0.000008
./imgs/airplane.gif,./imgs/girl.bmp,1.0, 0.000005
./imgs/airplane.gif,./imgs/girl.gif,1.0, 0.000005
./imgs/airplane.gif,./imgs/girl.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/girl.png,1.0, 0.000005
./imgs/airplane.gif,./imgs/goldhill.bmp,1.0, 0.000009
./imgs/airplane.gif,./imgs/goldhill.gif,0.7741856448335959, 0.137061
./imgs/airplane.gif,./imgs/goldhill.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/goldhill.png,1.0, 0.000005
./imgs/airplane.gif,./imgs/lena.bmp,0.7035745402574036, 0.162897
./imgs/airplane.gif,./imgs/lena.gif,0.7097299062362883, 0.149723
./imgs/airplane.gif,./imgs/lena.jpg,0.6922397586215348, 0.176468
./imgs/airplane.gif,./imgs/lena.png,0.7035745402574036, 0.138592
./imgs/airplane.gif,./imgs/monarch.bmp,1.0, 0.000006
./imgs/airplane.gif,./imgs/monarch.gif,1.0, 0.000004
./imgs/airplane.gif,./imgs/monarch.jpg,1.0, 0.000005
./imgs/airplane.gif,./imgs/monarch.png,1.0, 0.000005
./imgs/airplane.gif,./imgs/peppers.bmp,0.766796578514746, 0.145003
./imgs/airplane.gif,./imgs/peppers.gif,0.774084192950322, 0.143387
./imgs/airplane.gif,./imgs/peppers.jpg,0.75868944834728, 0.140222
./imgs/airplane.gif,./imgs/peppers.png,0.766796578514746, 0.144891
./imgs/airplane.jpg,./imgs/airplane.bmp,0.028650770055743124, 0.139902
./imgs/airplane.jpg,./imgs/airplane.gif,0.042955604225513144, 0.167677
./imgs/airplane.jpg,./imgs/airplane.png,0.028650770055743124, 0.155363
./imgs/airplane.jpg,./imgs/arctichare.bmp,1.0, 0.000005
./imgs/airplane.jpg,./imgs/arctichare.gif,1.0, 0.000005
./imgs/airplane.jpg,./imgs/arctichare.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/arctichare.png,1.0, 0.000004
./imgs/airplane.jpg,./imgs/baboon.bmp,0.8865836682578235, 0.141276
./imgs/airplane.jpg,./imgs/baboon.gif,0.8890770066267257, 0.148293
./imgs/airplane.jpg,./imgs/baboon.jpg,0.8850255011711792, 0.139615
./imgs/airplane.jpg,./imgs/baboon.png,0.8865836682578235, 0.142498
./imgs/airplane.jpg,./imgs/boat.bmp,1.0, 0.000013
./imgs/airplane.jpg,./imgs/boat.gif,0.7454889105820515, 0.135584
./imgs/airplane.jpg,./imgs/boat.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/boat.png,1.0, 0.000005
./imgs/airplane.jpg,./imgs/cat.bmp,1.0, 0.000004
./imgs/airplane.jpg,./imgs/cat.gif,1.0, 0.000005
./imgs/airplane.jpg,./imgs/cat.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/cat.png,1.0, 0.000004
./imgs/airplane.jpg,./imgs/fruits.bmp,0.6811895176017082, 0.141998
./imgs/airplane.jpg,./imgs/fruits.gif,0.6886328723738016, 0.132661
./imgs/airplane.jpg,./imgs/fruits.jpg,0.6816463680505813, 0.139262
./imgs/airplane.jpg,./imgs/fruits.png,0.6811895176017082, 0.147686
./imgs/airplane.jpg,./imgs/frymire.bmp,1.0, 0.000006
./imgs/airplane.jpg,./imgs/frymire.gif,1.0, 0.000006
./imgs/airplane.jpg,./imgs/frymire.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/frymire.png,1.0, 0.000006
./imgs/airplane.jpg,./imgs/girl.bmp,1.0, 0.000005
./imgs/airplane.jpg,./imgs/girl.gif,1.0, 0.000004
./imgs/airplane.jpg,./imgs/girl.jpg,1.0, 0.000006
./imgs/airplane.jpg,./imgs/girl.png,1.0, 0.000005
./imgs/airplane.jpg,./imgs/goldhill.bmp,1.0, 0.000007
./imgs/airplane.jpg,./imgs/goldhill.gif,0.776673150570077, 0.132790
./imgs/airplane.jpg,./imgs/goldhill.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/goldhill.png,1.0, 0.000004
./imgs/airplane.jpg,./imgs/lena.bmp,0.7069512026164102, 0.133193
./imgs/airplane.jpg,./imgs/lena.gif,0.7130411593883321, 0.130192
./imgs/airplane.jpg,./imgs/lena.jpg,0.6958519521549156, 0.129729
./imgs/airplane.jpg,./imgs/lena.png,0.7069512026164102, 0.130139
./imgs/airplane.jpg,./imgs/monarch.bmp,1.0, 0.000005
./imgs/airplane.jpg,./imgs/monarch.gif,1.0, 0.000005
./imgs/airplane.jpg,./imgs/monarch.jpg,1.0, 0.000005
./imgs/airplane.jpg,./imgs/monarch.png,1.0, 0.000005
./imgs/airplane.jpg,./imgs/peppers.bmp,0.7692903738107035, 0.134665
./imgs/airplane.jpg,./imgs/peppers.gif,0.7764022941581636, 0.136952
